TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
Flat,2047.5,20000000.0,for sale,"Defence Executive Apartments, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,180000000.0,for sale,"F-11/3, F-11, Islamabad, Islamabad Capital",2024,5,6,2
House,2250.0,47500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2023,5,6,4
Upper Portion,4500.0,175000.0,for rent,"G-10/2, G-10, Islamabad, Islamabad Capital",2010,4,4,2
Flat,1080.0,200000.0,for rent,"One Constitution Avenue, Constitution Avenue, Islamabad, Islamabad Capital",2024,2,2,2
House,1125.0,17500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2018,3,4,3
House,4500.0,235000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2024,5,5,2
Lower Portion,1575.0,65000.0,for rent,"I-11, Islamabad, Islamabad Capital",2024,3,3,2
House,4950.0,600000.0,for rent,"F-8, Islamabad, Islamabad Capital",2010,5,6,2
House,1125.0,12000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,2
Flat,405.0,3300000.0,for sale,"MPCHS - Block F, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,1,1,1
Lower Portion,3150.0,80000.0,for rent,"B-17, Islamabad, Islamabad Capital",2023,3,3,1
House,1125.0,22000000.0,for sale,"MPCHS - Block C1, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,4,4,2
House,1800.0,36500000.0,for sale,"Bahria Enclave - Sector G, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
Flat,3735.0000000000005,140000.0,for rent,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2023,4,6,4
House,1575.0,29800000.0,for sale,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,4,6,1
Flat,697.5,27000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,1
Lower Portion,2700.0,150000.0,for rent,"I-8, Islamabad, Islamabad Capital",2015,3,3,1
Upper Portion,1125.0,32000.0,for rent,"Ghauri Town Phase 3, Ghauri Town, Islamabad, Islamabad Capital",2024,2,3,1
House,4500.0,700000.0,for rent,"E-11, Islamabad, Islamabad Capital",2023,10,7,4
House,10800.0,1200000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,11,6,10
House,5850.0,1180000.0,for rent,"E-7, Islamabad, Islamabad Capital",2024,4,4,2
