TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
House,2250.0,170000.0,for rent,"Pakistan Town, Islamabad, Islamabad Capital",2024,9,7,2
Flat,1732.5,37000000.0,for sale,"B-17, Islamabad, Islamabad Capital",2025,2,2,1
Lower Portion,2250.0,200000.0,for rent,"F-7/1, F-7, Islamabad, Islamabad Capital",2024,1,1,1
Upper Portion,4500.0,80000.0,for rent,"D-17, Islamabad, Islamabad Capital",2020,5,5,1
House,1800.0,13000000.0,for sale,"DHA Homes - Block B, DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",2024,3,2,1
House,1125.0,18000000.0,for sale,"Ghauri Town Phase 4 C2, Ghauri Town, Islamabad, Islamabad Capital",2025,5,6,1
House,4500.0,500000.0,for rent,"E-7, Islamabad, Islamabad Capital",2020,4,4,5
House,2250.0,77500000.0,for sale,"G-9, Islamabad, Islamabad Capital",1990,5,5,3
House,2250.0,26500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,5,5,3
House,1125.0,13500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,1
Flat,472.5,6000000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,1,1,1
Flat,1957.4999999999998,67000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,3,3,1
House,2452.5,110000000.0,for sale,"D-12/4, D-12, Islamabad, Islamabad Capital",2022,5,5,2
Flat,2205.0,17000000.0,for sale,"Khudadad Heights, E-11/2, E-11, Islamabad, Islamabad Capital",2023,2,2,1
House,1575.0,56500000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,5,6,2
Lower Portion,1800.0,80000.0,for rent,"E-11, Islamabad, Islamabad Capital",2019,2,2,1
House,17100.0,725000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2015,6,6,2
House,4500.0,180000000.0,for sale,"F-10, Islamabad, Islamabad Capital",2024,5,5,4
House,5850.0,900000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,10,6,13
Lower Portion,4500.0,375000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,500000.0,for rent,"F-7, Islamabad, Islamabad Capital",2000,4,5,4
House,4950.0,350000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2024,6,6,2
Upper Portion,2700.0,68000.0,for rent,"PWD Housing Society - Block D, PWD Housing Scheme, Islamabad, Islamabad Capital",2024,3,3,1
Upper Portion,2250.0,70000.0,for rent,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,3,3,1
House,2250.0,130000.0,for rent,"Gulberg, Islamabad, Islamabad Capital",2023,6,6,2
Flat,1507.5,72500000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,1,2,1
Flat,2250.0,550000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2022,2,4,1
House,5850.0,1250000.0,for rent,"F-8, Islamabad, Islamabad Capital",2003,6,6,5
House,9000.0,1400000.0,for rent,"F-6, Islamabad, Islamabad Capital",2024,7,6,7
Flat,675.0,3200000.0,for sale,"H-13, Islamabad, Islamabad Capital",2018,2,2,1
House,3825.0,42500000.0,for sale,"Aryan Enclave, Bani Gala, Islamabad, Islamabad Capital",2010,3,3,2
Lower Portion,3150.0,125000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,3,3,1
Flat,2205.0,22000000.0,for sale,"Cube Apartments, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2022,3,3,1
Upper Portion,3150.0,130000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2025,3,3,2
Flat,810.0,30000.0,for rent,"Top City 1, Islamabad, Islamabad Capital",2024,1,1,3
Flat,742.5,229999.0,for rent,"Park View City, Islamabad, Islamabad Capital",2024,1,1,1
Lower Portion,2250.0,70000.0,for rent,"E-11, Islamabad, Islamabad Capital",2020,2,2,4
House,1125.0,7000000.0,for sale,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
House,1800.0,75000000.0,for sale,"D-12/1, D-12, Islamabad, Islamabad Capital",2020,5,5,2
Flat,2047.5,20000000.0,for sale,"Defence Executive Apartments, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,2
Upper Portion,4500.0,75000.0,for rent,"DHA Phase 2 - Sector H, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,1
House,5850.0,700000.0,for rent,"F-8, Islamabad, Islamabad Capital",2024,7,7,2
House,1800.0,44000000.0,for sale,"Shehzad Town, Islamabad, Islamabad Capital",2024,5,4,2
House,4500.0,105000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,3
Lower Portion,4500.0,150000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,3
House,2250.0,42500000.0,for sale,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2024,6,6,2
House,1575.0,34000000.0,for sale,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,5,5,2
House,1800.0,36000000.0,for sale,"CBR Town, Islamabad, Islamabad Capital",2024,5,6,3
Lower Portion,4500.0,120000.0,for rent,"DHA Phase 2 - Sector E, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,3,4,1
Flat,900.0,69000.0,for rent,"Faisal Town - F-18, Islamabad, Islamabad Capital",2024,2,2,1
House,1575.0,150000.0,for rent,"G-13, Islamabad, Islamabad Capital",2021,5,6,2
House,2115.0,70000000.0,for sale,"I-9/1, I-9, Islamabad, Islamabad Capital",2024,7,7,5
House,900.0,120000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,4,1
House,1350.0,32000000.0,for sale,"I-10, Islamabad, Islamabad Capital",2024,5,3,2
House,2250.0,45000000.0,for sale,"Bahria Enclave - Sector C2, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
Flat,562.5,6500000.0,for sale,"F-17, Islamabad, Islamabad Capital",2023,2,1,2
House,,47500000.0,for sale,"G-9/4, G-9, Islamabad, Islamabad Capital",2024,5,4,2
Flat,945.0,12300000.0,for sale,"Anaya Heights, Bani Gala, Islamabad, Islamabad Capital",2024,2,2,2
House,1125.0,16000000.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,4,4,2
Flat,1844.9999999999998,450000.0,for rent,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital",2018,2,2,1
House,2700.0,160000.0,for rent,"Bahria Enclave - Sector M, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,6,6,2
House,9000.0,3300000.0,for rent,"F-7, Islamabad, Islamabad Capital",2000,7,6,5
House,900.0,9800000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2022,2,3,1
House,1575.0,23000000.0,for sale,"CDECHS - Cabinet Division Employees Cooperative Housing Society, E-16/3, E-16, Islamabad, Islamabad Capital",2024,7,6,2
Flat,1080.0,15900000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,2,2,1
Flat,1147.5,74900000.0,for sale,"F-8/1, F-8, Islamabad, Islamabad Capital",2023,1,1,1
House,4500.0,139000000.0,for sale,"Bahria Enclave - Sector C2, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,8,6,3
House,2250.0,57500000.0,for sale,"DHA Defence Phase 3, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,2
House,4500.0,220000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2019,4,6,4
House,1125.0,85000.0,for rent,"B-17, Islamabad, Islamabad Capital",2024,4,4,2
House,7200.0,720000000.0,for sale,"E-7, Islamabad, Islamabad Capital",2023,6,6,7
House,1800.0,220000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,5,6,2
Flat,877.5,260000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,1,1,1
House,1125.0,24500000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,3,4,2
House,1125.0,140000.0,for rent,"D-12/1, D-12, Islamabad, Islamabad Capital",2024,4,4,1
Flat,1710.0,21000000.0,for sale,"Capital Residencia, Margalla Hills-2, E-11, Islamabad, Islamabad Capital",2020,3,3,1
House,1125.0,12500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2025,2,3,2
Lower Portion,4500.0,180000.0,for rent,"E-11, Islamabad, Islamabad Capital",2018,3,3,1
Upper Portion,2250.0,36000.0,for rent,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2024,2,2,1
House,3150.0,95000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,6,6,1
Flat,742.5,6000000.0,for sale,"B-17, Islamabad, Islamabad Capital",2022,2,2,2
House,4500.0,2247000.0,for rent,"F-7/1, F-7, Islamabad, Islamabad Capital",2023,7,5,2
Farm House,45000.0,,for sale,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,8,7,1
House,1350.0,80000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,5,4,2
House,3195.0,110000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2023,8,6,2
Flat,697.5,11600000.0,for sale,"B-17, Islamabad, Islamabad Capital",2025,2,1,1
House,4500.0,1050000.0,for rent,"F-8/3, F-8, Islamabad, Islamabad Capital",2024,4,4,2
House,4500.0,300000.0,for rent,"E-11, Islamabad, Islamabad Capital",2025,3,4,3
Flat,2700.0,90000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,3,3,1
Upper Portion,4500.0,105000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,2,3,1
House,4500.0,1960000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,7,6,2
House,3195.0,90000000.0,for sale,"G-9, Islamabad, Islamabad Capital",1995,6,6,5
Flat,1147.5,10500000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2018,2,2,1
House,2700.0,100000000.0,for sale,"I-8, Islamabad, Islamabad Capital",2024,6,6,2
House,1800.0,30000000.0,for sale,"MPCHS - Block E, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,4,6,2
House,4500.0,109500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,6,6,3
Flat,1147.5,14800000.0,for sale,"DHA Defence Phase 3, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,2
Flat,742.5,50000.0,for rent,"PWD Housing Scheme, Islamabad, Islamabad Capital",2021,2,2,1
House,2250.0,34000000.0,for sale,"F-17/3, F-17, Islamabad, Islamabad Capital",2025,6,7,2
Lower Portion,5850.0,560000.0,for rent,"F-7, Islamabad, Islamabad Capital",2020,3,4,1
House,4500.0,1680000.0,for rent,"F-7/1, F-7, Islamabad, Islamabad Capital",2024,4,4,4
Lower Portion,1350.0,48000.0,for rent,"I-11, Islamabad, Islamabad Capital",2024,2,2,1
Flat,945.0,7000000.0,for sale,"MPCHS - Block C1, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2020,2,2,1
Flat,787.5,8500000.0,for sale,"MPCHS - Block C, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,2,2,1
House,2700.0,204999.0,for rent,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,6,2
Flat,855.0,20000000.0,for sale,"G-11/4, G-11, Islamabad, Islamabad Capital",2004,2,2,1
Upper Portion,5850.0,200000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,4,4,1
House,1125.0,26000000.0,for sale,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,3,3,1
House,2250.0,72500000.0,for sale,"DHA Phase 2 - Sector J, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,2
House,900.0,95000.0,for rent,"I-11, Islamabad, Islamabad Capital",2024,5,5,1
Flat,630.0,75000.0,for rent,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2024,1,1,1
House,5850.0,300000000.0,for sale,"F-11/2, F-11, Islamabad, Islamabad Capital",2024,9,6,3
Upper Portion,5850.0,200000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,4,4,3
Flat,1732.5,99000000.0,for sale,"Elysium Mall, Blue Area, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,425000.0,for rent,"E-11, Islamabad, Islamabad Capital",2025,6,6,3
Lower Portion,3150.0,130000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,3,1
Lower Portion,3150.0,130000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2024,3,3,1
Flat,945.0,40000.0,for rent,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,2
House,1125.0,17000000.0,for sale,"Ghauri Town Phase 4 C2, Ghauri Town, Islamabad, Islamabad Capital",2024,4,5,1
House,1350.0,13500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2025,3,4,1
House,2250.0,57000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,5,5,2
House,4500.0,350000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,6,6,2
House,4500.0,139500000.0,for sale,"DHA Phase 2 - Sector G, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,2
Flat,1507.5,120000.0,for rent,"G-11, Islamabad, Islamabad Capital",2024,2,2,1
House,2250.0,38000000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,5,2
Flat,2700.0,70000.0,for rent,"Askari Heights 4, DHA Phase 5 - Sector H, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,1
Flat,2070.0,140000.0,for rent,"G-11/3, G-11, Islamabad, Islamabad Capital",2023,3,3,1
Upper Portion,2925.0,65000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,3,3,1
House,4950.0,790000.0,for rent,"G-6, Islamabad, Islamabad Capital",1990,8,6,7
Flat,1395.0,100000.0,for rent,"E-11, Islamabad, Islamabad Capital",2025,3,3,1
Flat,1147.5,45000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,3,3,4
House,4950.0,180000000.0,for sale,"F-10, Islamabad, Islamabad Capital",2024,5,6,6
Upper Portion,1125.0,37000.0,for rent,"Pakistan Town - Phase 1, Pakistan Town, Islamabad, Islamabad Capital",2023,3,3,1
House,1800.0,36000000.0,for sale,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2025,7,7,2
House,1350.0,43000000.0,for sale,"G-10/4, G-10, Islamabad, Islamabad Capital",2024,4,4,2
House,1125.0,6400000.0,for sale,"Lilly Sector - Block A, DHA Valley - Lilly Sector, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",2018,2,2,2
House,1575.0,55000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2018,5,6,2
Lower Portion,1575.0,45000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,2,3,1
House,1575.0,32500000.0,for sale,"MPCHS - Block C1, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2025,4,5,2
Flat,630.0,4500000.0,for sale,"Goldcrest Highlife, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,1,1,1
House,1350.0,140000.0,for rent,"G-9/4, G-9, Islamabad, Islamabad Capital",2024,4,4,2
Upper Portion,3150.0,140000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,3,1
House,1125.0,130000.0,for rent,"Bahria Enclave - Sector G, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2021,5,3,1
Flat,2317.5,13000000.0,for sale,"Khudadad Heights, E-11/2, E-11, Islamabad, Islamabad Capital",2024,3,3,1
Flat,810.0,52000.0,for rent,"Bahria Enclave - Sector G, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,1,1,2
House,3600.0,125000000.0,for sale,"E-11/2, E-11, Islamabad, Islamabad Capital",2014,6,7,3
House,4500.0,72500000.0,for sale,"Soan Garden - Block B, Soan Garden, Islamabad, Islamabad Capital",2024,9,6,2
House,1800.0,37500000.0,for sale,"B-17, Islamabad, Islamabad Capital",2025,6,6,2
House,990.0000000000001,36000000.0,for sale,"G-14/4, G-14, Islamabad, Islamabad Capital",2024,5,5,2
Flat,2610.0,29800000.0,for sale,"DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2023,3,4,1
House,4500.0,210000000.0,for sale,"F-10, Islamabad, Islamabad Capital",2022,5,6,5
Flat,922.4999999999999,8500000.0,for sale,"MPCHS - Block B, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,2025.0,80000.0,for rent,"I-9, Islamabad, Islamabad Capital",2024,4,2,1
Farm House,21600.0,55000000.0,for sale,"Gulberg Greens - Block B, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2023,6,6,2
Upper Portion,2025.0,100000.0,for rent,"G-14/4, G-14, Islamabad, Islamabad Capital",2024,4,4,1
House,8100.0,1100000.0,for rent,"F-8, Islamabad, Islamabad Capital",2022,8,6,8
House,9000.0,280000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2017,7,7,5
Flat,1395.0,70000.0,for rent,"Capital Residencia, Margalla Hills-2, E-11, Islamabad, Islamabad Capital",2020,2,2,1
Flat,1057.5,8500000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,2,2,1
Flat,3735.0000000000005,30000000.0,for sale,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2024,4,4,1
House,2250.0,35000000.0,for sale,"D-17, Islamabad, Islamabad Capital",2023,6,6,2
Flat,2407.5,250000.0,for rent,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2021,3,3,1
Flat,1012.5,16800000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2022,2,2,1
Upper Portion,2700.0,68000.0,for rent,"Soan Garden - Block A, Soan Garden, Islamabad, Islamabad Capital",2024,3,3,1
House,1800.0,36500000.0,for sale,"MPCHS - Block C1, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2020,6,6,3
Flat,1350.0,20000000.0,for sale,"Islamabad Expressway, Islamabad, Islamabad Capital",2024,3,3,200
House,4500.0,149000000.0,for sale,"F-11, Islamabad, Islamabad Capital",2015,6,6,4
House,1350.0,50000000.0,for sale,"I-9, Islamabad, Islamabad Capital",1999,5,5,1
House,9000.0,1900000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,7,7,6
Flat,2655.0,38000000.0,for sale,"Askari Tower 2, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2018,3,4,1
Flat,1260.0,150000.0,for rent,"Silver Oaks Apartments, F-10, Islamabad, Islamabad Capital",2024,2,2,1
House,10800.0,5000000.0,for rent,"E-7, Islamabad, Islamabad Capital",2024,7,6,8
House,1125.0,21500000.0,for sale,"MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,4,4,2
House,4005.0,215000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2024,5,6,2
House,2250.0,74500000.0,for sale,"G-9/4, G-9, Islamabad, Islamabad Capital",2005,4,4,2
Flat,450.0,28000.0,for rent,"E-11, Islamabad, Islamabad Capital",2020,2,1,1
Flat,855.0,12000000.0,for sale,"E-11/4, E-11, Islamabad, Islamabad Capital",2020,1,1,6
House,3195.0,127500000.0,for sale,"I-8/4, I-8, Islamabad, Islamabad Capital",2005,6,6,4
Flat,607.5,6500000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2018,1,1,1
Flat,720.0,7200000.0,for sale,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,1,1,1
House,1462.5,13000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,2
Flat,990.0000000000001,8000000.0,for sale,"D-17, Islamabad, Islamabad Capital",2024,3,3,1
House,2250.0,36000000.0,for sale,"Soan Garden, Islamabad, Islamabad Capital",2024,6,6,3
Lower Portion,900.0,45000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,3150.0,150000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2020,3,2,1
Lower Portion,4500.0,180000.0,for rent,"F-11, Islamabad, Islamabad Capital",2016,3,3,2
House,2092.5,38500000.0,for sale,"D-17, Islamabad, Islamabad Capital",2024,4,6,4
Flat,3802.4999999999995,30000000.0,for sale,"Zarkon Heights, G-15, Islamabad, Islamabad Capital",2024,4,5,1
Flat,2092.5,270000.0,for rent,"Savoy Residence, F-11, Islamabad, Islamabad Capital",2018,3,3,2
Upper Portion,2250.0,60000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,3,1
House,1125.0,17000000.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,4,4,2
Flat,1305.0,75000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,3,1
Flat,1035.0,25000000.0,for sale,"G-11, Islamabad, Islamabad Capital",2024,2,2,1
House,1125.0,126000.0,for rent,"I-9, Islamabad, Islamabad Capital",2024,3,3,2
House,675.0,35000000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2020,4,4,1
Flat,2205.0,500000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,2,3,1
Upper Portion,4050.0,150000.0,for rent,"G-11, Islamabad, Islamabad Capital",2024,3,3,2
House,900.0,114999.0,for rent,"G-13/4, G-13, Islamabad, Islamabad Capital",2024,4,3,2
Farm House,13500.0,300000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,5
House,6300.0,1575000.0,for rent,"F-6/3, F-6, Islamabad, Islamabad Capital",2022,6,6,7
House,1125.0,92000.0,for rent,"I-9, Islamabad, Islamabad Capital",2024,3,3,2
House,4500.0,750000.0,for rent,"F-7, Islamabad, Islamabad Capital",2016,5,5,2
Flat,652.5,22000.0,for rent,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,1800.0,75000.0,for rent,"G-10, Islamabad, Islamabad Capital",2024,2,2,1
House,1575.0,26000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,4,6,1
House,1800.0,30000000.0,for sale,"MPCHS - Block E, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,4,6,2
Flat,1462.5,360000.0,for rent,"Diplomatic Enclave, Islamabad, Islamabad Capital",2000,2,2,1
House,2700.0,70000000.0,for sale,"PWD Housing Scheme, Islamabad, Islamabad Capital",2025,7,7,2
House,2925.0,29500000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2023,5,6,4
Flat,900.0,29000000.0,for sale,"G-11/4, G-11, Islamabad, Islamabad Capital",2024,2,2,3
Flat,517.5,7725000.0,for sale,"Gulberg Residencia, Gulberg, Islamabad, Islamabad Capital",2024,1,1,1
Lower Portion,4500.0,114999.0,for rent,"G-13/3, G-13, Islamabad, Islamabad Capital",2022,4,4,1
House,5850.0,2800000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,8,6,2
Lower Portion,2700.0,65000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,3,4,1
House,1575.0,72000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,5,6,2
House,1575.0,85000.0,for rent,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,5,6,2
House,8100.0,2100000.0,for rent,"F-7, Islamabad, Islamabad Capital",2025,7,6,5
Flat,652.5,5200000.0,for sale,"E-11/4, E-11, Islamabad, Islamabad Capital",2017,1,1,1
Flat,810.0,10300000.0,for sale,"Anaya Heights, Bani Gala, Islamabad, Islamabad Capital",2024,2,2,2
Upper Portion,5850.0,190000.0,for rent,"F-11/2, F-11, Islamabad, Islamabad Capital",2024,3,3,2
House,10800.0,350000000.0,for sale,"G-6, Islamabad, Islamabad Capital",2000,4,5,6
Flat,652.5,95000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,1,1,1
Flat,292.5,25000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2023,2,1,1
House,16200.0,,for sale,"F-7, Islamabad, Islamabad Capital",2021,10,6,12
House,1125.0,24000000.0,for sale,"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,3,5,1
House,9000.0,3000000.0,for rent,"E-7, Islamabad, Islamabad Capital",2025,5,6,6
House,1125.0,13000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,2
House,2250.0,40000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,7,6,2
Flat,1755.0,60000000.0,for sale,"Silver Oaks Apartments, F-10, Islamabad, Islamabad Capital",2024,3,3,15
House,1125.0,27500000.0,for sale,"Park View - Block F, Park View City, Islamabad, Islamabad Capital",2024,3,4,4
House,36000.0,400000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,7,7,1
House,1800.0,235000.0,for rent,"D-12/3, D-12, Islamabad, Islamabad Capital",2024,4,5,2
Flat,990.0000000000001,60000.0,for rent,"The Springs, Islamabad, Islamabad Capital",2018,2,2,1
Flat,2092.5,45000000.0,for sale,"Warda Hamna Residencia 3, G-11/3, G-11, Islamabad, Islamabad Capital",2015,3,3,2
House,2250.0,41000000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,6,6,2
House,2250.0,28000000.0,for sale,"E-16/3, E-16, Islamabad, Islamabad Capital",2025,5,4,2
House,1800.0,15000000.0,for sale,"Lilly Sector - DHA Homes, DHA Valley - Lilly Sector, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",2022,3,3,1
House,1575.0,55000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2025,5,6,2
Flat,1844.9999999999998,67000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,3,4,1
Flat,697.5,100000.0,for rent,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,1
House,4500.0,350000.0,for rent,"F-11, Islamabad, Islamabad Capital",2020,5,5,2
House,1800.0,42000000.0,for sale,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,6,2
House,14400.0,225000000.0,for sale,"Bahria Garden City, Bahria Town, Islamabad, Islamabad Capital",2024,6,6,5
House,2250.0,49000000.0,for sale,"Top City 1 - Block D, Top City 1, Islamabad, Islamabad Capital",2025,7,7,2
House,1350.0,40000000.0,for sale,"I-10, Islamabad, Islamabad Capital",2020,4,4,2
Flat,787.5,8300000.0,for sale,"Defence Executive Apartments, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2020,1,1,1
Flat,2632.5,171700000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2020,3,5,1
House,1800.0,40000000.0,for sale,"PHAF Officers Residencia, Kuri Road, Islamabad, Islamabad Capital",2024,4,4,2
Flat,1192.5,11100000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
Flat,2565.0,95000.0,for rent,"Askari Tower 1, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,3,3,1
